Date,Cases,Countries
2021-07-07,148,Austria
2021-07-06,127,Austria
2021-07-05,103,Austria
2021-07-04,73,Austria
2021-07-03,68,Austria
2021-07-02,104,Austria
2021-07-01,108,Austria
2021-06-30,80,Austria
2021-06-29,106,Austria
2021-06-28,93,Austria
2021-06-27,73,Austria
2021-06-26,66,Austria
2021-06-25,117,Austria
2021-06-24,108,Austria
2021-06-23,99,Austria
2021-06-22,116,Austria
2021-06-21,102,Austria
2021-06-20,115,Austria
2021-06-19,108,Austria
2021-06-18,149,Austria
2021-06-17,131,Austria
2021-06-16,171,Austria
2021-06-15,180,Austria
2021-06-14,147,Austria
2021-06-13,103,Austria
2021-06-12,207,Austria
2021-06-11,198,Austria
2021-06-10,227,Austria
2021-06-09,287,Austria
2021-06-08,356,Austria
2021-06-07,308,Austria
2021-06-06,311,Austria
2021-06-05,326,Austria
2021-06-04,284,Austria
2021-06-03,351,Austria
2021-06-02,305,Austria
2021-06-01,489,Austria
2021-05-31,360,Austria
2021-05-30,327,Austria
2021-05-29,385,Austria
2021-05-28,423,Austria
2021-05-27,537,Austria
2021-05-26,607,Austria
2021-05-25,485,Austria
2021-05-24,407,Austria
2021-05-23,349,Austria
2021-05-22,509,Austria
2021-05-21,569,Austria
2021-05-20,661,Austria
2021-05-19,610,Austria
2021-05-18,845,Austria
2021-05-17,639,Austria
2021-05-16,521,Austria
2021-05-15,684,Austria
2021-05-14,636,Austria
2021-05-13,852,Austria
2021-05-12,997,Austria
2021-05-11,1158,Austria
2021-05-10,928,Austria
2021-05-09,745,Austria
2021-05-08,1062,Austria
2021-05-07,1155,Austria
2021-05-06,1385,Austria
2021-05-05,1394,Austria
2021-05-04,1726,Austria
2021-05-03,1448,Austria
2021-05-02,1109,Austria
2021-05-01,1540,Austria
2021-04-30,1667,Austria
2021-04-29,2118,Austria
2021-04-28,2157,Austria
2021-04-27,2272,Austria
2021-04-26,1917,Austria
2021-04-25,1592,Austria
2021-04-24,1898,Austria
2021-04-23,1972,Austria
2021-04-22,2484,Austria
2021-04-21,2618,Austria
2021-04-20,2531,Austria
2021-04-19,2091,Austria
2021-04-18,2015,Austria
2021-04-17,2033,Austria
2021-04-16,2366,Austria
2021-04-15,2355,Austria
2021-04-14,2738,Austria
2021-04-13,3179,Austria
2021-04-12,2242,Austria
2021-04-11,2059,Austria
2021-04-10,1965,Austria
2021-04-09,3459,Austria
2021-04-08,2509,Austria
2021-04-07,2871,Austria
2021-04-06,2850,Austria
2021-04-05,2009,Austria
2021-04-04,2332,Austria
2021-04-03,2818,Austria
2021-04-02,3307,Austria
2021-04-01,3093,Austria
2021-03-31,3394,Austria
2021-03-30,3136,Austria
2021-03-29,2797,Austria
2021-03-28,3232,Austria
2021-03-27,2647,Austria
2021-03-26,3303,Austria
2021-03-25,3216,Austria
2021-03-24,3447,Austria
2021-03-23,3540,Austria
2021-03-22,3021,Austria
2021-03-21,2439,Austria
2021-03-20,2690,Austria
2021-03-19,3650,Austria
2021-03-18,3222,Austria
2021-03-17,3520,Austria
2021-03-16,2871,Austria
2021-03-15,2759,Austria
2021-03-14,1908,Austria
2021-03-13,2525,Austria
2021-03-12,3033,Austria
2021-03-11,3055,Austria
2021-03-10,2871,Austria
2021-03-09,2412,Austria
2021-03-08,2523,Austria
2021-03-07,1947,Austria
2021-03-06,2246,Austria
2021-03-05,2763,Austria
2021-03-04,2350,Austria
2021-03-03,2400,Austria
2021-03-02,2452,Austria
2021-03-01,2192,Austria
2021-02-28,1401,Austria
2021-02-27,2224,Austria
2021-02-26,2496,Austria
2021-02-25,1889,Austria
2021-02-24,2445,Austria
2021-02-23,1967,Austria
2021-02-22,1889,Austria
2021-02-21,1225,Austria
2021-02-20,1657,Austria
2021-02-19,2092,Austria
2021-02-18,1708,Austria
2021-02-17,1900,Austria
2021-02-16,1657,Austria
2021-02-15,1499,Austria
2021-02-14,1168,Austria
2021-02-13,1171,Austria
2021-02-12,1268,Austria
2021-02-11,1562,Austria
2021-02-10,1668,Austria
2021-02-09,1470,Austria
2021-02-08,1232,Austria
2021-02-07,999,Austria
2021-02-06,1146,Austria
2021-02-05,1365,Austria
2021-02-04,1270,Austria
2021-02-03,1520,Austria
2021-02-02,1643,Austria
2021-02-01,1217,Austria
2021-01-31,1134,Austria
2021-01-30,1099,Austria
2021-01-29,1487,Austria
2021-01-28,1422,Austria
2021-01-27,1472,Austria
2021-01-26,1585,Austria
2021-01-25,1425,Austria
2021-01-24,947,Austria
2021-01-23,1262,Austria
2021-01-22,1453,Austria
2021-01-21,1789,Austria
2021-01-20,1741,Austria
2021-01-19,1657,Austria
2021-01-18,1632,Austria
2021-01-17,1010,Austria
2021-01-16,1320,Austria
2021-01-15,1557,Austria
2021-01-14,1536,Austria
2021-01-13,1656,Austria
2021-01-12,2160,Austria
2021-01-11,1706,Austria
2021-01-10,1388,Austria
2021-01-09,1547,Austria
2021-01-08,2298,Austria
2021-01-07,2000,Austria
2021-01-06,2086,Austria
2021-01-05,2961,Austria
2021-01-04,2292,Austria
2021-01-03,1895,Austria
2021-01-02,1635,Austria
2021-01-01,1591,Austria
2020-12-31,2003,Austria
2020-12-30,2712,Austria
2020-12-29,2974,Austria
2020-12-28,2125,Austria
2020-12-27,1697,Austria
2020-12-26,1163,Austria
2020-12-25,1287,Austria
2020-12-24,1807,Austria
2020-12-23,2854,Austria
2020-12-22,2557,Austria
2020-12-21,2107,Austria
2020-12-20,1353,Austria
2020-12-19,1505,Austria
2020-12-18,2151,Austria
2020-12-17,1950,Austria
2020-12-16,2389,Austria
2020-12-15,2757,Austria
2020-12-14,2742,Austria
2020-12-13,2505,Austria
2020-12-12,2636,Austria
2020-12-11,2836,Austria
2020-12-10,3090,Austria
2020-12-09,2481,Austria
2020-12-08,2631,Austria
2020-12-07,2512,Austria
2020-12-06,2067,Austria
2020-12-05,2866,Austria
2020-12-04,3591,Austria
2020-12-03,3657,Austria
2020-12-02,3570,Austria
2020-12-01,3935,Austria
2020-11-30,3374,Austria
2020-11-29,2391,Austria
2020-11-28,3738,Austria
2020-11-27,4237,Austria
2020-11-26,5017,Austria
2020-11-25,5391,Austria
2020-11-24,5743,Austria
2020-11-23,4607,Austria
2020-11-22,2437,Austria
2020-11-21,5153,Austria
2020-11-20,6464,Austria
2020-11-19,6608,Austria
2020-11-18,6434,Austria
2020-11-17,7523,Austria
2020-11-16,6075,Austria
2020-11-15,4611,Austria
2020-11-14,5100,Austria
2020-11-13,7017,Austria
2020-11-12,8259,Austria
2020-11-11,9177,Austria
2020-11-10,7434,Austria
2020-11-09,6249,Austria
2020-11-08,5743,Austria
2020-11-07,5323,Austria
2020-11-06,8090,Austria
2020-11-05,6953,Austria
2020-11-04,7109,Austria
2020-11-03,6360,Austria
2020-11-02,5192,Austria
2020-11-01,4479,Austria
2020-10-31,4790,Austria
2020-10-30,5716,Austria
2020-10-29,5047,Austria
2020-10-28,4468,Austria
2020-10-27,4374,Austria
2020-10-26,2781,Austria
2020-10-25,2475,Austria
2020-10-24,2969,Austria
2020-10-23,3348,Austria
2020-10-22,3230,Austria
2020-10-21,2655,Austria
2020-10-20,1978,Austria
2020-10-19,1646,Austria
2020-10-18,1199,Austria
2020-10-17,1485,Austria
2020-10-16,1795,Austria
2020-10-15,1522,Austria
2020-10-14,1435,Austria
2020-10-13,1322,Austria
2020-10-12,1142,Austria
2020-10-11,830,Austria
2020-10-10,1014,Austria
2020-10-09,1260,Austria
2020-10-08,1109,Austria
2020-10-07,1274,Austria
2020-10-06,1078,Austria
2020-10-05,927,Austria
2020-10-04,737,Austria
2020-10-03,718,Austria
2020-10-02,1014,Austria
2020-10-01,791,Austria
2020-09-30,853,Austria
2020-09-29,759,Austria
2020-09-28,739,Austria
2020-09-27,545,Austria
2020-09-26,591,Austria
2020-09-25,763,Austria
2020-09-24,657,Austria
2020-09-23,804,Austria
2020-09-22,719,Austria
2020-09-21,582,Austria
2020-09-20,471,Austria
2020-09-19,667,Austria
2020-09-18,874,Austria
2020-09-17,806,Austria
2020-09-16,854,Austria
2020-09-15,723,Austria
2020-09-14,820,Austria
2020-09-13,414,Austria
2020-09-12,415,Austria
2020-09-11,930,Austria
2020-09-10,598,Austria
2020-09-09,691,Austria
2020-09-08,552,Austria
2020-09-07,396,Austria
2020-09-06,367,Austria
2020-09-05,217,Austria
2020-09-04,380,Austria
2020-09-03,366,Austria
2020-09-02,429,Austria
2020-09-01,286,Austria
2020-08-31,222,Austria
2020-08-30,223,Austria
2020-08-29,237,Austria
2020-08-28,394,Austria
2020-08-27,226,Austria
2020-08-26,319,Austria
2020-08-25,301,Austria
2020-08-24,243,Austria
2020-08-23,193,Austria
2020-08-22,229,Austria
2020-08-21,302,Austria
2020-08-20,331,Austria
2020-08-19,347,Austria
2020-08-18,252,Austria
2020-08-17,259,Austria
2020-08-16,169,Austria
2020-08-15,156,Austria
2020-08-14,349,Austria
2020-08-13,251,Austria
2020-08-12,190,Austria
2020-08-11,187,Austria
2020-08-10,158,Austria
2020-08-09,72,Austria
2020-08-08,104,Austria
2020-08-07,90,Austria
2020-08-06,119,Austria
2020-08-05,159,Austria
2020-08-04,83,Austria
2020-08-03,93,Austria
2020-08-02,70,Austria
2020-08-01,62,Austria
2020-07-31,123,Austria
2020-07-30,190,Austria
2020-07-29,102,Austria
2020-07-28,153,Austria
2020-07-27,96,Austria
2020-07-26,101,Austria
2020-07-25,112,Austria
2020-07-24,153,Austria
2020-07-23,117,Austria
2020-07-22,162,Austria
2020-07-21,137,Austria
2020-07-20,90,Austria
2020-07-19,87,Austria
2020-07-18,81,Austria
2020-07-17,124,Austria
2020-07-16,141,Austria
2020-07-15,130,Austria
2020-07-14,123,Austria
2020-07-13,98,Austria
2020-07-12,52,Austria
2020-07-11,90,Austria
2020-07-10,105,Austria
2020-07-09,72,Austria
2020-07-08,117,Austria
2020-07-07,91,Austria
2020-07-06,69,Austria
2020-07-05,76,Austria
2020-07-04,106,Austria
2020-07-03,134,Austria
2020-07-02,80,Austria
2020-07-01,95,Austria
2020-06-30,101,Austria
2020-06-29,49,Austria
2020-06-28,63,Austria
2020-06-27,45,Austria
2020-06-26,74,Austria
2020-06-25,44,Austria
2020-06-24,35,Austria
2020-06-23,43,Austria
2020-06-22,31,Austria
2020-06-21,29,Austria
2020-06-20,32,Austria
2020-06-19,52,Austria
2020-06-18,32,Austria
2020-06-17,31,Austria
2020-06-16,19,Austria
2020-06-15,53,Austria
2020-06-14,18,Austria
2020-06-13,22,Austria
2020-06-12,37,Austria
2020-06-11,22,Austria
2020-06-10,34,Austria
2020-06-09,15,Austria
2020-06-08,24,Austria
2020-06-07,25,Austria
2020-06-06,31,Austria
2020-06-05,67,Austria
2020-06-04,17,Austria
2020-06-03,53,Austria
2020-06-02,16,Austria
2020-06-01,19,Austria
2020-05-31,5,Austria
2020-05-30,32,Austria
2020-05-29,42,Austria
2020-05-28,19,Austria
2020-05-27,50,Austria
2020-05-26,22,Austria
2020-05-25,25,Austria
2020-05-24,31,Austria
2020-05-23,24,Austria
2020-05-22,28,Austria
2020-05-21,31,Austria
2020-05-20,30,Austria
2020-05-19,61,Austria
2020-05-18,58,Austria
2020-05-17,26,Austria
2020-05-16,15,Austria
2020-05-15,81,Austria
2020-05-14,54,Austria
2020-05-13,52,Austria
2020-05-12,38,Austria
2020-05-11,66,Austria
2020-05-10,15,Austria
2020-05-09,30,Austria
2020-05-08,50,Austria
2020-05-07,38,Austria
2020-05-06,46,Austria
2020-05-05,54,Austria
2020-05-04,30,Austria
2020-05-03,12,Austria
2020-05-02,28,Austria
2020-05-01,37,Austria
2020-04-30,54,Austria
2020-04-29,61,Austria
2020-04-28,49,Austria
2020-04-27,70,Austria
2020-04-26,35,Austria
2020-04-25,62,Austria
2020-04-24,79,Austria
2020-04-23,60,Austria
2020-04-22,73,Austria
2020-04-21,70,Austria
2020-04-20,68,Austria
2020-04-19,47,Austria
2020-04-18,60,Austria
2020-04-17,100,Austria
2020-04-16,111,Austria
2020-04-15,129,Austria
2020-04-14,150,Austria
2020-04-13,87,Austria
2020-04-12,111,Austria
2020-04-11,203,Austria
2020-04-10,357,Austria
2020-04-09,276,Austria
2020-04-08,290,Austria
2020-04-07,289,Austria
2020-04-06,306,Austria
2020-04-05,183,Austria
2020-04-04,253,Austria
2020-04-03,411,Austria
2020-04-02,438,Austria
2020-04-01,549,Austria
2020-03-31,551,Austria
2020-03-30,671,Austria
2020-03-29,547,Austria
2020-03-28,617,Austria
2020-03-27,807,Austria
2020-03-26,1057,Austria
2020-03-25,754,Austria
2020-03-24,723,Austria
2020-03-23,687,Austria
2020-03-22,618,Austria
2020-03-21,548,Austria
2020-03-20,509,Austria
2020-03-19,455,Austria
2020-03-18,372,Austria
2020-03-17,346,Austria
2020-03-16,226,Austria
2020-03-15,198,Austria
2020-03-14,210,Austria
2020-03-13,182,Austria
2020-03-12,98,Austria
2020-03-11,109,Austria
2020-03-10,55,Austria
2020-03-09,22,Austria
2020-03-08,28,Austria
2020-03-07,23,Austria
2020-03-06,29,Austria
2020-03-05,9,Austria
2020-03-04,14,Austria
2020-03-03,6,Austria
2020-03-02,5,Austria
2020-03-01,4,Austria
2020-02-29,1,Austria
2020-02-28,4,Austria
2020-02-27,2,Austria
2020-02-26,1,Austria
2022-02-23,7,Belgium
2022-02-22,4646,Belgium
2022-02-21,10863,Belgium
2022-02-20,2911,Belgium
2022-02-19,4491,Belgium
2022-02-18,7711,Belgium
2022-02-17,9270,Belgium
2022-02-16,10604,Belgium
2022-02-15,11524,Belgium
2022-02-14,16478,Belgium
2022-02-13,4845,Belgium
2022-02-12,6739,Belgium
2022-02-11,12170,Belgium
2022-02-10,14192,Belgium
2022-02-09,16768,Belgium
2022-02-08,19390,Belgium
2022-02-07,27410,Belgium
2022-02-06,7284,Belgium
2022-02-05,12468,Belgium
2022-02-04,22380,Belgium
2022-02-03,25859,Belgium
2022-02-02,30842,Belgium
2022-02-01,36726,Belgium
2022-01-31,50016,Belgium
2022-01-30,13205,Belgium
2022-01-29,23221,Belgium
2022-01-28,41417,Belgium
2022-01-27,47503,Belgium
2022-01-26,54746,Belgium
2022-01-25,62494,Belgium
2022-01-24,75951,Belgium
2022-01-23,20746,Belgium
2022-01-22,32786,Belgium
2022-01-21,56437,Belgium
2022-01-20,57267,Belgium
2022-01-19,60892,Belgium
2022-01-18,60710,Belgium
2022-01-17,62687,Belgium
2022-01-16,14991,Belgium
2022-01-15,21174,Belgium
2022-01-14,31839,Belgium
2022-01-13,30107,Belgium
2022-01-12,31148,Belgium
2022-01-11,31695,Belgium
2022-01-10,37754,Belgium
2022-01-09,11225,Belgium
2022-01-08,15343,Belgium
2022-01-07,23800,Belgium
2022-01-06,23633,Belgium
2022-01-05,26043,Belgium
2022-01-04,28119,Belgium
2022-01-03,27579,Belgium
2022-01-02,9085,Belgium
2022-01-01,4070,Belgium
2021-12-31,12291,Belgium
2021-12-30,16059,Belgium
2021-12-29,15045,Belgium
2021-12-28,12818,Belgium
2021-12-27,13296,Belgium
2021-12-26,4566,Belgium
2021-12-25,2818,Belgium
2021-12-24,6519,Belgium
2021-12-23,7524,Belgium
2021-12-22,7389,Belgium
2021-12-21,7372,Belgium
2021-12-20,9111,Belgium
2021-12-19,2850,Belgium
2021-12-18,4753,Belgium
2021-12-17,7745,Belgium
2021-12-16,8110,Belgium
2021-12-15,9282,Belgium
2021-12-14,10582,Belgium
2021-12-13,13885,Belgium
2021-12-12,3908,Belgium
2021-12-11,7112,Belgium
2021-12-10,13103,Belgium
2021-12-09,13437,Belgium
2021-12-08,15080,Belgium
2021-12-07,15682,Belgium
2021-12-06,20737,Belgium
2021-12-05,5977,Belgium
2021-12-04,9636,Belgium
2021-12-03,17768,Belgium
2021-12-02,18329,Belgium
2021-12-01,19669,Belgium
2021-11-30,20870,Belgium
2021-11-29,25206,Belgium
2021-11-28,7072,Belgium
2021-11-27,11588,Belgium
2021-11-26,20044,Belgium
2021-11-25,20231,Belgium
2021-11-24,20174,Belgium
2021-11-23,21138,Belgium
2021-11-22,25624,Belgium
2021-11-21,6754,Belgium
2021-11-20,11215,Belgium
2021-11-19,19151,Belgium
2021-11-18,18572,Belgium
2021-11-17,18148,Belgium
2021-11-16,18431,Belgium
2021-11-15,20837,Belgium
2021-11-14,5506,Belgium
2021-11-13,8362,Belgium
2021-11-12,13752,Belgium
2021-11-11,5055,Belgium
2021-11-10,12750,Belgium
2021-11-09,13017,Belgium
2021-11-08,15267,Belgium
2021-11-07,4073,Belgium
2021-11-06,6453,Belgium
2021-11-05,11139,Belgium
2021-11-04,10181,Belgium
2021-11-03,10706,Belgium
2021-11-02,11714,Belgium
2021-11-01,3582,Belgium
2021-10-31,3058,Belgium
2021-10-30,4971,Belgium
2021-10-29,9289,Belgium
2021-10-28,9196,Belgium
2021-10-27,9224,Belgium
2021-10-26,9401,Belgium
2021-10-25,9703,Belgium
2021-10-24,2450,Belgium
2021-10-23,4090,Belgium
2021-10-22,7147,Belgium
2021-10-21,6905,Belgium
2021-10-20,6552,Belgium
2021-10-19,6296,Belgium
2021-10-18,6570,Belgium
2021-10-17,1490,Belgium
2021-10-16,2376,Belgium
2021-10-15,4168,Belgium
2021-10-14,3890,Belgium
2021-10-13,3596,Belgium
2021-10-12,3435,Belgium
2021-10-11,3924,Belgium
2021-10-10,820,Belgium
2021-10-09,1424,Belgium
2021-10-08,2544,Belgium
2021-10-07,2516,Belgium
2021-10-06,2545,Belgium
2021-10-05,2290,Belgium
2021-10-04,2791,Belgium
2021-10-03,678,Belgium
2021-10-02,1147,Belgium
2021-10-01,2149,Belgium
2021-09-30,2163,Belgium
2021-09-29,2167,Belgium
2021-09-28,2391,Belgium
2021-09-27,2628,Belgium
2021-09-26,723,Belgium
2021-09-25,1216,Belgium
2021-09-24,2253,Belgium
2021-09-23,2080,Belgium
2021-09-22,2171,Belgium
2021-09-21,2269,Belgium
2021-09-20,2940,Belgium
2021-09-19,652,Belgium
2021-09-18,1260,Belgium
2021-09-17,2390,Belgium
2021-09-16,2426,Belgium
2021-09-15,2322,Belgium
2021-09-14,2496,Belgium
2021-09-13,2930,Belgium
2021-09-12,679,Belgium
2021-09-11,1306,Belgium
2021-09-10,2323,Belgium
2021-09-09,2105,Belgium
2021-09-08,2190,Belgium
2021-09-07,2361,Belgium
2021-09-06,2800,Belgium
2021-09-05,733,Belgium
2021-09-04,1240,Belgium
2021-09-03,2155,Belgium
2021-09-02,2113,Belgium
2021-09-01,2222,Belgium
2021-08-31,2358,Belgium
2021-08-30,2943,Belgium
2021-08-29,833,Belgium
2021-08-28,1372,Belgium
2021-08-27,2217,Belgium
2021-08-26,2186,Belgium
2021-08-25,2395,Belgium
2021-08-24,2460,Belgium
2021-08-23,2654,Belgium
2021-08-22,956,Belgium
2021-08-21,1285,Belgium
2021-08-20,2245,Belgium
2021-08-19,2007,Belgium
2021-08-18,2265,Belgium
2021-08-17,2247,Belgium
2021-08-16,2829,Belgium
2021-08-15,766,Belgium
2021-08-14,1352,Belgium
2021-08-13,2273,Belgium
2021-08-12,2158,Belgium
2021-08-11,1992,Belgium
2021-08-10,2218,Belgium
2021-08-09,2597,Belgium
2021-08-08,922,Belgium
2021-08-07,1275,Belgium
2021-08-06,2133,Belgium
2021-08-05,1836,Belgium
2021-08-04,1875,Belgium
2021-08-03,1950,Belgium
2021-08-02,2251,Belgium
2021-08-01,1056,Belgium
2021-07-31,1186,Belgium
2021-07-30,1797,Belgium
2021-07-29,1782,Belgium
2021-07-28,1752,Belgium
